Dose_A,Dose_B,CI,CI_normalized,Mean_Growth,Std_Growth,Dosing_Type,R_squared_A,R_squared_B
0,0,0,0.119202922022118,0.246775,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0,0.25,0.031975642478758,0.126082589026971,0.2139,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0,0.5,0.0939941830170994,0.140395177287975,0.19,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0,1,0.05,0.130108474362998,0.159225,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0,2,0.1,0.141851064900488,0.137275,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0.25,0,0.0319696643379927,0.126081271620777,0.2139,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0.25,0.25,0.025,0.124553358187416,0.1853,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0.25,0.5,0.0375,0.127305038075372,0.164675,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0.25,1,0.0625,0.132964240197829,0.138075,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0.25,2,0.1125,0.144921631487823,0.119075,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0.5,0,0.0939512343317248,0.140384811137981,0.19,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0.5,0.25,0.0375,0.127305038075372,0.164675,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0.5,0.5,0.05,0.130108474362998,0.146375,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0.5,1,0.075,0.135872897009094,0.122725,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0.5,2,0.125,0.148047198031689,0.10585,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
1,0,0.05,0.130108474362998,0.159225,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
1,0.25,0.0625,0.132964240197829,0.138075,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
1,0.5,0.075,0.135872897009094,0.122725,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
1,1,0.1,0.141851064900488,0.102875,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
1,2,0.15,0.154465265083535,0.0887,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
2,0,0.1,0.141851064900488,0.137275,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
