 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Median,AR,Round,Solidity
1,645,158.468,68,210,215.556,163.812,93.636,35.909,22.870,27.467,0.924,169,1.570,0.637,1.003
2,285,69.646,21,114,268.704,138.953,60.022,20.076,18.075,134.404,0.994,70,1.111,0.900,1.011
3,384,73.229,25,106,262.297,176.716,70.644,25.607,19.093,53.134,0.967,77,1.341,0.746,1.004
4,554,95.231,24,170,324.500,167.000,84.678,30.965,22.780,143.857,0.971,95,1.359,0.736,0.993
5,246,64.902,20,121,363.248,182.232,56.501,20.467,15.303,72.442,0.968,63,1.337,0.748,0.996
6,166,126.633,51,185,270.488,210.283,46.098,16.703,12.654,80.240,0.982,132,1.320,0.758,1.003
7,149,128.302,54,186,214.695,245.513,45.530,17.400,10.903,16.530,0.903,135,1.596,0.627,0.987
8,166,134.584,48,194,294.000,236.000,46.966,17.904,11.805,174.099,0.946,141,1.517,0.659,1.031
9,184,154.609,66,212,274.734,259.462,49.697,19.136,12.242,163.544,0.936,162,1.563,0.640,1.011
10,138,126.659,65,167,306.268,268.804,43.278,16.711,10.514,99.624,0.926,132,1.589,0.629,0.989
11,180,155.489,63,205,194.978,312.861,47.828,16.423,13.955,85.313,0.989,164,1.177,0.850,0.997
12,134,88.269,52,154,265.000,300.000,42.675,16.208,10.526,4.871,0.925,84,1.540,0.649,1.000
13,504,98.911,29,136,230.837,351.964,82.987,32.131,19.972,57.478,0.920,101,1.609,0.622,0.995
14,140,138.443,56,181,118.129,397.536,42.046,15.086,11.816,106.320,0.995,140,1.277,0.783,1.007
15,316,178.259,88,220,132.766,456.225,65.321,24.828,16.205,99.813,0.931,190,1.532,0.653,0.991
16,545,68.382,34,134,166.271,388.280,82.933,27.496,25.237,152.945,0.996,62,1.089,0.918,1.003
17,331,64.462,28,110,189.249,397.642,64.845,21.341,19.748,106.660,0.989,62,1.081,0.925,0.993
18,414,71.771,34,119,208.618,441.988,73.732,27.278,19.324,148.932,0.957,70,1.412,0.708,0.999
19,164,132.354,76,184,244.500,430.232,45.611,16.149,12.930,130.351,0.991,134,1.249,0.801,0.988
20,406,65.488,27,122,253.000,491.500,71.623,23.640,21.867,120.187,0.995,62,1.081,0.925,1.005
21,420,61.957,17,108,304.988,455.262,72.559,23.994,22.287,153.876,1.000,64,1.077,0.929,1.006
22,143,76.371,28,120,278.500,535.500,43.072,14.005,13.001,134.991,0.969,77,1.077,0.928,0.986
23,177,117.130,43,170,336.308,654.963,47.071,15.587,14.459,127.749,1.000,126,1.078,0.928,1.006
24,537,178.523,86,211,388.500,679.500,84.928,31.707,21.564,177.582,0.936,190,1.470,0.680,1.000
25,145,122.200,77,165,375.272,602.045,42.568,14.249,12.957,86.772,1.000,126,1.100,0.909,1.010
26,206,201.917,144,224,312.413,509.675,53.430,20.873,12.566,118.904,0.907,209,1.661,0.602,1.007
27,127,148.921,97,180,341.925,464.689,42.047,16.579,9.753,144.715,0.903,154,1.700,0.588,1.000
28,246,152.846,85,203,379.447,474.626,57.481,21.737,14.409,145.330,0.936,154,1.509,0.663,1.006
29,81,201.975,147,223,412.093,625.796,32.859,12.026,8.576,143.335,0.943,211,1.402,0.713,0.988
30,139,140.597,95,184,445.759,665.680,44.327,17.377,10.185,104.983,0.889,143,1.706,0.586,0.996
31,160,155.600,92,198,485.275,738.081,47.531,18.590,10.958,82.518,0.890,161,1.696,0.589,0.994
32,235,117.877,80,167,493.691,645.862,54.793,19.379,15.440,26.302,0.984,114,1.255,0.797,1.002
33,292,127.709,81,163,497.140,611.110,62.972,24.044,15.463,16.633,0.925,132,1.555,0.643,0.997
34,172,121.087,64,166,520.285,725.006,47.195,17.591,12.449,25.199,0.970,126,1.413,0.708,1.009
35,251,77.761,38,108,558.086,705.815,57.584,21.111,15.138,22.095,0.951,81,1.395,0.717,0.998
36,138,133.116,72,165,536.312,676.935,42.755,15.741,11.163,151.595,0.949,135,1.410,0.709,0.996
37,419,149.659,47,211,568.469,664.588,72.373,23.281,22.915,138.295,1.000,157,1.016,0.984,1.002
38,924,67.332,17,119,538.012,570.244,111.491,42.212,27.870,32.353,0.934,75,1.515,0.660,1.006
39,573,68.110,16,131,535.528,409.592,85.540,29.528,24.707,47.902,0.984,62,1.195,0.837,1.004
40,258,109.190,53,202,509.163,467.531,58.329,21.401,15.349,53.779,0.953,104,1.394,0.717,0.994
41,98,118.306,72,205,464.776,500.653,36.115,13.268,9.405,142.322,0.944,109,1.411,0.709,0.985
