Time,Dose_A,Dose_B,Growth,Dosing_Type
0,0,0,0.1000,A+B
0,0,0,0.1020,A+B
0,0,0,0.0980,A+B
0,0,0.25,0.0866,A+B
0,0,0.25,0.0886,A+B
0,0,0.25,0.0846,A+B
0,0,0.5,0.0769,A+B
0,0,0.5,0.0789,A+B
0,0,0.5,0.0749,A+B
0,0,1,0.0645,A+B
0,0,1,0.0665,A+B
0,0,1,0.0625,A+B
0,0,2,0.0556,A+B
0,0,2,0.0576,A+B
0,0,2,0.0536,A+B
0,0.25,0,0.0866,A+B
0,0.25,0,0.0886,A+B
0,0.25,0,0.0846,A+B
0,0.25,0.25,0.0750,A+B
0,0.25,0.25,0.0770,A+B
0,0.25,0.25,0.0730,A+B
0,0.25,0.5,0.0667,A+B
0,0.25,0.5,0.0687,A+B
0,0.25,0.5,0.0647,A+B
0,0.25,1,0.0559,A+B
0,0.25,1,0.0579,A+B
0,0.25,1,0.0539,A+B
0,0.25,2,0.0482,A+B
0,0.25,2,0.0502,A+B
0,0.25,2,0.0462,A+B
0,0.5,0,0.0769,A+B
0,0.5,0,0.0789,A+B
0,0.5,0,0.0749,A+B
0,0.5,0.25,0.0667,A+B
0,0.5,0.25,0.0687,A+B
0,0.5,0.25,0.0647,A+B
0,0.5,0.5,0.0593,A+B
0,0.5,0.5,0.0613,A+B
0,0.5,0.5,0.0573,A+B
0,0.5,1,0.0497,A+B
0,0.5,1,0.0517,A+B
0,0.5,1,0.0477,A+B
0,0.5,2,0.0429,A+B
0,0.5,2,0.0449,A+B
0,0.5,2,0.0409,A+B
0,1,0,0.0645,A+B
0,1,0,0.0665,A+B
0,1,0,0.0625,A+B
0,1,0.25,0.0559,A+B
0,1,0.25,0.0579,A+B
0,1,0.25,0.0539,A+B
0,1,0.5,0.0497,A+B
0,1,0.5,0.0517,A+B
0,1,0.5,0.0477,A+B
0,1,1,0.0416,A+B
0,1,1,0.0436,A+B
0,1,1,0.0396,A+B
0,1,2,0.0359,A+B
0,1,2,0.0379,A+B
0,1,2,0.0339,A+B
0,2,0,0.0556,A+B
0,2,0,0.0576,A+B
0,2,0,0.0536,A+B
0,2,0.25,0.0482,A+B
0,2,0.25,0.0502,A+B
0,2,0.25,0.0462,A+B
0,2,0.5,0.0429,A+B
0,2,0.5,0.0449,A+B
0,2,0.5,0.0409,A+B
0,2,1,0.0359,A+B
0,2,1,0.0379,A+B
0,2,1,0.0339,A+B
0,2,2,0.0310,A+B
0,2,2,0.0330,A+B
0,2,2,0.0290,A+B
2,0,0,0.1653,A+B
2,0,0,0.1673,A+B
2,0,0,0.1633,A+B
2,0,0.25,0.1431,A+B
2,0,0.25,0.1451,A+B
2,0,0.25,0.1411,A+B
2,0,0.5,0.1271,A+B
2,0,0.5,0.1291,A+B
2,0,0.5,0.1251,A+B
2,0,1,0.1066,A+B
2,0,1,0.1086,A+B
2,0,1,0.1046,A+B
2,0,2,0.0919,A+B
2,0,2,0.0939,A+B
2,0,2,0.0899,A+B
2,0.25,0,0.1431,A+B
2,0.25,0,0.1451,A+B
2,0.25,0,0.1411,A+B
2,0.25,0.25,0.1240,A+B
2,0.25,0.25,0.1260,A+B
2,0.25,0.25,0.1220,A+B
2,0.25,0.5,0.1102,A+B
2,0.25,0.5,0.1122,A+B
2,0.25,0.5,0.1082,A+B
2,0.25,1,0.0924,A+B
2,0.25,1,0.0944,A+B
2,0.25,1,0.0904,A+B
2,0.25,2,0.0797,A+B
2,0.25,2,0.0817,A+B
2,0.25,2,0.0777,A+B
2,0.5,0,0.1271,A+B
2,0.5,0,0.1291,A+B
2,0.5,0,0.1251,A+B
2,0.5,0.25,0.1102,A+B
2,0.5,0.25,0.1122,A+B
2,0.5,0.25,0.1082,A+B
2,0.5,0.5,0.0979,A+B
2,0.5,0.5,0.0999,A+B
2,0.5,0.5,0.0959,A+B
2,0.5,1,0.0821,A+B
2,0.5,1,0.0841,A+B
2,0.5,1,0.0801,A+B
2,0.5,2,0.0708,A+B
2,0.5,2,0.0728,A+B
2,0.5,2,0.0688,A+B
2,1,0,0.1066,A+B
2,1,0,0.1086,A+B
2,1,0,0.1046,A+B
2,1,0.25,0.0924,A+B
2,1,0.25,0.0944,A+B
2,1,0.25,0.0904,A+B
2,1,0.5,0.0821,A+B
2,1,0.5,0.0841,A+B
2,1,0.5,0.0801,A+B
2,1,1,0.0688,A+B
2,1,1,0.0708,A+B
2,1,1,0.0668,A+B
2,1,2,0.0593,A+B
2,1,2,0.0613,A+B
2,1,2,0.0573,A+B
2,2,0,0.0919,A+B
2,2,0,0.0939,A+B
2,2,0,0.0899,A+B
2,2,0.25,0.0797,A+B
2,2,0.25,0.0817,A+B
2,2,0.25,0.0777,A+B
2,2,0.5,0.0708,A+B
2,2,0.5,0.0728,A+B
2,2,0.5,0.0688,A+B
2,2,1,0.0593,A+B
2,2,1,0.0613,A+B
2,2,1,0.0573,A+B
2,2,2,0.0512,A+B
2,2,2,0.0532,A+B
2,2,2,0.0492,A+B
4,0,0,0.2725,A+B
4,0,0,0.2745,A+B
4,0,0,0.2705,A+B
4,0,0.25,0.2362,A+B
4,0,0.25,0.2382,A+B
4,0,0.25,0.2342,A+B
4,0,0.5,0.2098,A+B
4,0,0.5,0.2118,A+B
4,0,0.5,0.2078,A+B
4,0,1,0.1758,A+B
4,0,1,0.1778,A+B
4,0,1,0.1738,A+B
4,0,2,0.1516,A+B
4,0,2,0.1536,A+B
4,0,2,0.1496,A+B
4,0.25,0,0.2362,A+B
4,0.25,0,0.2382,A+B
4,0.25,0,0.2342,A+B
4,0.25,0.25,0.2046,A+B
4,0.25,0.25,0.2066,A+B
4,0.25,0.25,0.2026,A+B
4,0.25,0.5,0.1818,A+B
4,0.25,0.5,0.1838,A+B
4,0.25,0.5,0.1798,A+B
4,0.25,1,0.1524,A+B
4,0.25,1,0.1544,A+B
4,0.25,1,0.1504,A+B
4,0.25,2,0.1315,A+B
4,0.25,2,0.1335,A+B
4,0.25,2,0.1295,A+B
4,0.5,0,0.2098,A+B
4,0.5,0,0.2118,A+B
4,0.5,0,0.2078,A+B
4,0.5,0.25,0.1818,A+B
4,0.5,0.25,0.1838,A+B
4,0.5,0.25,0.1798,A+B
4,0.5,0.5,0.1616,A+B
4,0.5,0.5,0.1636,A+B
4,0.5,0.5,0.1596,A+B
4,0.5,1,0.1355,A+B
4,0.5,1,0.1375,A+B
4,0.5,1,0.1335,A+B
4,0.5,2,0.1168,A+B
4,0.5,2,0.1188,A+B
4,0.5,2,0.1148,A+B
4,1,0,0.1758,A+B
4,1,0,0.1778,A+B
4,1,0,0.1738,A+B
4,1,0.25,0.1524,A+B
4,1,0.25,0.1544,A+B
4,1,0.25,0.1504,A+B
4,1,0.5,0.1355,A+B
4,1,0.5,0.1375,A+B
4,1,0.5,0.1335,A+B
4,1,1,0.1136,A+B
4,1,1,0.1156,A+B
4,1,1,0.1116,A+B
4,1,2,0.0979,A+B
4,1,2,0.0999,A+B
4,1,2,0.0959,A+B
4,2,0,0.1516,A+B
4,2,0,0.1536,A+B
4,2,0,0.1496,A+B
4,2,0.25,0.1315,A+B
4,2,0.25,0.1335,A+B
4,2,0.25,0.1295,A+B
4,2,0.5,0.1168,A+B
4,2,0.5,0.1188,A+B
4,2,0.5,0.1148,A+B
4,2,1,0.0979,A+B
4,2,1,0.0999,A+B
4,2,1,0.0959,A+B
4,2,2,0.0845,A+B
4,2,2,0.0865,A+B
4,2,2,0.0825,A+B
6,0,0,0.4493,A+B
6,0,0,0.4513,A+B
6,0,0,0.4473,A+B
6,0,0.25,0.3897,A+B
6,0,0.25,0.3917,A+B
6,0,0.25,0.3877,A+B
6,0,0.5,0.3462,A+B
6,0,0.5,0.3482,A+B
6,0,0.5,0.3442,A+B
6,0,1,0.2900,A+B
6,0,1,0.2920,A+B
6,0,1,0.2880,A+B
6,0,2,0.2500,A+B
6,0,2,0.2520,A+B
6,0,2,0.2480,A+B
6,0.25,0,0.3897,A+B
6,0.25,0,0.3917,A+B
6,0.25,0,0.3877,A+B
6,0.25,0.25,0.3376,A+B
6,0.25,0.25,0.3396,A+B
6,0.25,0.25,0.3356,A+B
6,0.25,0.5,0.3000,A+B
6,0.25,0.5,0.3020,A+B
6,0.25,0.5,0.2980,A+B
6,0.25,1,0.2516,A+B
6,0.25,1,0.2536,A+B
6,0.25,1,0.2496,A+B
6,0.25,2,0.2169,A+B
6,0.25,2,0.2189,A+B
6,0.25,2,0.2149,A+B
